Country,Deaths / million,Deaths,Cases
Peru,"6,489","220,975","4,526,977"
Bulgaria,"5,706","38,700","1,329,487"
Bosnia and Herzegovina,"5,068","16,388","403,652"
Hungary,"4,921","49,051","2,230,506"
North Macedonia,"4,765","9,977","350,640"
Slovenia,"4,749","10,068","1,356,134"
Croatia,"4,652","18,752","1,317,144"
Georgia,"4,580","17,150","1,863,101"
Montenegro,"4,232","2,654","251,280"
Czech Republic,"4,145","43,507","4,760,297"
Latvia,"4,039","7,475","977,765"
Greece,"3,764","39,099","5,651,779"
Slovakia,"3,761","21,226","1,877,833"
San Marino,"3,739",126,"25,292"
Moldova,"3,739","12,239","635,867"
Lithuania,"3,566","9,809","1,367,286"
United States,"3,519","1,190,579","103,436,829"
Romania,"3,500","68,808","3,531,029"
Gibraltar,"3,458",113,"20,550"
United Kingdom,"3,438","232,112","24,956,066"
Italy,"3,338","197,081","26,727,644"
Brazil,"3,260","702,116","37,511,921"
Chile,"3,199","62,723","5,400,751"
Armenia,"3,156","8,777","451,944"
Poland,"3,028","120,717","6,664,935"
Martinique,"3,003","1,104","230,354"
Belgium,"2,946","34,339","4,865,822"
Paraguay,"2,931","19,880","735,759"
Argentina,"2,875","130,870","10,133,228"
Trinidad and Tobago,"2,867","4,390","191,496"
European Union[b],"2,803","1,262,159","185,700,232"
Russia,"2,785","403,108","24,244,024"
Portugal,"2,780","28,556","5,657,579"
Ukraine,"2,768","109,920","5,532,404"
Colombia,"2,751","142,727","6,388,086"
Aruba,"2,742",292,"44,224"
Serbia,"2,627","18,057","2,583,470"
Mexico,"2,623","334,501","7,616,491"
France,"2,600","168,091","38,997,490"
Sweden,"2,591","27,339","2,753,254"
Guadeloupe,"2,579","1,021","203,235"
Bermuda,"2,569",165,"18,860"
Spain,"2,562","121,852","13,980,340"
Austria,"2,520","22,534","6,082,390"
Guam,"2,439",419,"52,287"
Tunisia,"2,381","29,423","1,153,361"
Saint Lucia,"2,279",410,"30,257"
Suriname,"2,273","1,405","82,500"
Liechtenstein,"2,261",89,"21,583"
Estonia,"2,260","2,998","610,471"
Uruguay,"2,244","7,682","1,041,294"
French Polynesia,"2,122",650,"79,333"
Barbados,"2,105",593,"110,871"
Germany,"2,098","174,979","38,437,756"
Sint Maarten,"2,081",92,"11,051"
Finland,"2,069","11,466","1,499,712"
Bahamas,"2,068",848,"38,830"
British Virgin Islands,"2,042",64,"7,557"
Ecuador,"2,002","36,050","1,076,883"
Lebanon,"1,994","10,947","1,239,904"
Andorra,"1,991",159,"48,015"
Panama,"1,979","8,726","1,044,655"
Republic of Ireland,"1,925","9,670","1,741,595"
Grenada,"1,897",238,"19,693"
Monaco,"1,836",67,"17,181"
Bolivia,"1,831","22,387","1,212,144"
Puerto Rico,"1,825","5,938","1,252,713"
Montserrat,"1,812",8,"1,403"
Costa Rica,"1,808","9,368","1,230,653"
Kosovo,"1,802","3,212","274,279"
Hong Kong,"1,798","13,466","2,876,106"
